,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time,festivo,Visper_fest,Airline_Type,OCC
74,2025-11-17,Pegasus Airlines,PC1528,izmir,13:30:00,En hora,180,Airbus A320,Y,INT,Lunes,Tarde,0,0,Low_Cost,0.95
75,2025-11-17,Luxair,LG3592,luxembourg,13:35:00,Retrasado,76,de Havilland Dash 8-400,U,EU,Lunes,Tarde,0,0,Legacy,0.86
76,2025-11-17,Grupo easy,EC7153,milan,13:40:00,Retrasado,156,Airbus A319,R,EU,Lunes,Tarde,0,0,Low_Cost,0.97
78,2025-11-17,Turkish Airlines,TK608,ankara,13:40:00,Retrasado,165,Boeing 737-800,Y,INT,Lunes,Tarde,0,0,Legacy,0.86
80,2025-11-17,Jet2,LS804,manchester,13:50:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde,0,0,Low_Cost,0.97
82,2025-11-17,Air Baltic,BT684,riga,14:05:00,Retrasado,148,Airbus A220-300,U,EU,Lunes,Tarde,0,0,Low_Cost,0.97
84,2025-11-17,Norwegian Air Sweden AOC,D85502,stockholm,14:40:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde,0,0,Low_Cost,0.97
85,2025-11-17,Bluebird Airways,BZ251,tel aviv,14:45:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde,0,0,Low_Cost,0.95
86,2025-11-17,Grupo easy,EC7107,geneva,14:45:00,Retrasado,156,Airbus A319,R,EU,Lunes,Tarde,0,0,Low_Cost,0.95
87,2025-11-17,Volotea,V71443,ancona,14:45:00,En hora,180,Airbus A320,S,EU,Lunes,Tarde,0,0,Low_Cost,0.95
88,2025-11-17,Grupo wizz,W64406,sofia,14:50:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Tarde,0,0,Low_Cost,0.97
89,2025-11-17,Grupo easy,EC4212,napoli,14:55:00,En hora,180,Airbus A320,R,EU,Lunes,Tarde,0,0,Low_Cost,0.97
90,2025-11-17,SmartWings,QS1059,prague,14:55:00,Retrasado,189,Boeing 737-800,S,EU,Lunes,Tarde,0,0,Low_Cost,0.97
91,2025-11-17,Air Arabia Maroc,3O376,al aaroui,15:00:00,En hora,174,Airbus A320,Y,INT,Lunes,Tarde,0,0,Low_Cost,0.93
94,2025-11-17,Grupo wizz,W46728,venice,15:40:00,En hora,230,Airbus A321,S,EU,Lunes,Tarde,0,0,Low_Cost,0.97
95,2025-11-17,Pegasus Airlines,PC1094,istanbul,15:45:00,Retrasado,239,Airbus A321neo,W,INT,Lunes,Tarde,0,0,Low_Cost,0.95
98,2025-11-17,Grupo wizz,W43564,timisoara,16:25:00,Retrasado,180,Airbus A320,S,EU,Lunes,Tarde,0,0,Low_Cost,0.95
99,2025-11-17,Volotea,V73735,murcia,16:35:00,En hora,180,Airbus A320,R,NAC,Lunes,Tarde,0,0,Low_Cost,0.95
104,2025-11-17,Grupo easy,U23372,liverpool,17:00:00,En hora,156,Airbus A319,M,INT,Lunes,Tarde,0,0,Low_Cost,0.92
