,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time,festivo,Visper_fest,Airline_Type,OCC
316,2025-11-19,Grupo easy,EC1380,geneva,21:15:00,Retrasado,180,Airbus A320,R,EU,Miércoles,Noche,0,0,Low_Cost,0.95
317,2025-11-19,Grupo wizz,W43406,cluj-napoca,21:25:00,Retrasado,180,Airbus A320,U,EU,Miércoles,Noche,0,0,Low_Cost,0.95
318,2025-11-19,Grupo wizz,W46020,rome,21:35:00,En hora,239,Airbus A321neo,R,EU,Miércoles,Noche,0,0,Low_Cost,0.96
322,2025-11-20,Grupo easy,EC7105,geneva,06:10:00,En hora,156,Airbus A319,R,EU,Jueves,Mañana,0,0,Low_Cost,0.95
324,2025-11-20,Grupo easy,EC7191,glasgow,06:40:00,En hora,156,Airbus A319,R,EU,Jueves,Mañana,0,0,Low_Cost,0.95
329,2025-11-20,Grupo easy,EC7101,"basel, switzerland/mulhouse",07:30:00,En hora,156,Airbus A319,R,EU,Jueves,Mañana,0,0,Low_Cost,0.95
330,2025-11-20,Grupo easy,EC7151,milan,07:30:00,Retrasado,156,Airbus A319,R,EU,Jueves,Mañana,0,0,Low_Cost,0.97
332,2025-11-20,Norwegian Air Sweden AOC,D85510,copenhagen,07:55:00,En hora,189,Boeing 737-800,S,EU,Jueves,Mañana,0,0,Low_Cost,0.97
337,2025-11-20,Grupo wizz,W43938,chisinau,09:00:00,Retrasado,180,Airbus A320,Y,INT,Jueves,Mañana,0,0,Low_Cost,0.95
339,2025-11-20,Grupo wizz,W62048,krakow,09:05:00,Retrasado,239,Airbus A321neo,U,EU,Jueves,Mañana,0,0,Low_Cost,0.97
341,2025-11-20,Grupo wizz,W61914,vilnius,09:20:00,Retrasado,239,Airbus A321neo,S,EU,Jueves,Mañana,0,0,Low_Cost,0.97
342,2025-11-20,Grupo wizz,W43176,bucharest,09:25:00,Retrasado,239,Airbus A321neo,U,EU,Jueves,Mañana,0,0,Low_Cost,0.95
343,2025-11-20,Grupo wizz,W62376,budapest,09:25:00,Retrasado,239,Airbus A321neo,U,EU,Jueves,Mañana,0,0,Low_Cost,0.97
345,2025-11-20,Grupo wizz,W42938,vienna,09:35:00,Retrasado,239,Airbus A321neo,S,EU,Jueves,Mañana,0,0,Low_Cost,0.97
346,2025-11-20,Air Serbia,JU581,belgrade,09:55:00,Retrasado,144,Airbus A319,W,INT,Jueves,Mañana,0,0,Legacy,0.86
347,2025-11-20,Grupo easy,EC7656,lisbon,10:00:00,En hora,230,Airbus A321,R,EU,Jueves,Mañana,0,0,Low_Cost,0.97
349,2025-11-20,Transavia,HV5132,amsterdam,10:05:00,Retrasado,232,Airbus A321neo,S,EU,Jueves,Mañana,0,0,Low_Cost,0.95
350,2025-11-20,Grupo wizz,W61476,warsaw,10:15:00,Retrasado,239,Airbus A321neo,U,EU,Jueves,Mañana,0,0,Low_Cost,0.97
354,2025-11-20,Grupo easy,U28056,london,10:35:00,En hora,186,Airbus A320neo,M,INT,Jueves,Mañana,0,0,Low_Cost,0.97
355,2025-11-20,Grupo easy,U25716,southend,10:40:00,En hora,186,Airbus A320neo,M,INT,Jueves,Mañana,0,0,Low_Cost,0.95
356,2025-11-20,Azerbaijan Airlines,J246,baku,10:45:00,Retrasado,186,Airbus A320neo,W,INT,Jueves,Mañana,0,0,Low_Cost,0.95
359,2025-11-20,Grupo easy,U22704,bristol,11:05:00,En hora,180,Airbus A320,M,INT,Jueves,Mañana,0,0,Low_Cost,0.93
363,2025-11-20,Aer Lingus,EI563,dublin,11:30:00,En hora,174,Airbus A320,Y,INT,Jueves,Mañana,0,0,Low_Cost,0.96
364,2025-11-20,Jet2,LS1338,birmingham,11:30:00,Retrasado,189,Boeing 737-800,W,INT,Jueves,Mañana,0,0,Low_Cost,0.97
365,2025-11-20,Grupo easy,EC7131,nice/cote d'azur,12:00:00,En hora,156,Airbus A319,R,EU,Jueves,Tarde,0,0,Low_Cost,0.95
366,2025-11-20,Grupo easy,EC8064,london,12:10:00,En hora,156,Airbus A319,R,EU,Jueves,Tarde,0,0,Low_Cost,0.97
369,2025-11-20,Pegasus Airlines,PC1092,istanbul,12:45:00,Retrasado,239,Airbus A321neo,W,INT,Jueves,Tarde,0,0,Low_Cost,0.95
370,2025-11-20,Grupo wizz,W67022,bratislava,12:55:00,En hora,239,Airbus A321neo,U,EU,Jueves,Tarde,0,0,Low_Cost,0.95
372,2025-11-20,Volotea,V71445,olbia,13:05:00,En hora,180,Airbus A320,S,EU,Jueves,Tarde,0,0,Low_Cost,0.95
373,2025-11-20,Norwegian Air Sweden AOC,D81741,oslo,13:25:00,En hora,189,Boeing 737 MAX 8,U,EU,Jueves,Tarde,0,0,Low_Cost,0.95
374,2025-11-20,Eurowings,EW521,cologne-bonn,13:25:00,Retrasado,150,Airbus A319,S,EU,Jueves,Tarde,0,0,Low_Cost,0.97
376,2025-11-20,Luxair,LG3592,luxembourg,13:35:00,Retrasado,76,de Havilland Dash 8-400,U,EU,Jueves,Tarde,0,0,Legacy,0.86
380,2025-11-20,Transavia,TO4755,paris,13:45:00,Retrasado,186,Airbus A320neo,U,EU,Jueves,Tarde,0,0,Low_Cost,0.97
381,2025-11-20,Jet2,LS804,manchester,13:50:00,Retrasado,189,Boeing 737-800,Y,INT,Jueves,Tarde,0,0,Low_Cost,0.97
383,2025-11-20,Air Baltic,BT684,riga,14:05:00,En hora,148,Airbus A220-300,U,EU,Jueves,Tarde,0,0,Low_Cost,0.97
384,2025-11-20,Grupo easy,EC7153,milan,14:10:00,En hora,156,Airbus A319,R,EU,Jueves,Tarde,0,0,Low_Cost,0.97
385,2025-11-20,SunExpress,XQ895,izmir,14:15:00,En hora,189,Boeing 737-800,W,INT,Jueves,Tarde,0,0,Low_Cost,0.95
386,2025-11-20,Kuwait Airways,KU136,kuwait city,14:25:00,En hora,278,Airbus A330-900,W,INT,Jueves,Tarde,0,0,Legacy,0.86
387,2025-11-20,Norwegian Air Sweden AOC,D85502,stockholm,14:40:00,Retrasado,189,Boeing 737-800,R,EU,Jueves,Tarde,0,0,Low_Cost,0.97
388,2025-11-20,Bluebird Airways,BZ251,tel aviv,14:45:00,En hora,189,Boeing 737-800,W,INT,Jueves,Tarde,0,0,Low_Cost,0.95
389,2025-11-20,Eurowings,EW7521,hamburg,14:45:00,Retrasado,180,Airbus A320,U,EU,Jueves,Tarde,0,0,Low_Cost,0.95
390,2025-11-20,SmartWings,QS1059,prague,14:55:00,En hora,189,Boeing 737-800,S,EU,Jueves,Tarde,0,0,Low_Cost,0.97
393,2025-11-20,Grupo wizz,W46728,venice,15:40:00,En hora,239,Airbus A321neo,U,EU,Jueves,Tarde,0,0,Low_Cost,0.97
395,2025-11-20,Volotea,V73573,asturias,16:05:00,En hora,156,Airbus A319,S,NAC,Jueves,Tarde,0,0,Low_Cost,0.95
396,2025-11-20,Volotea,V73700,vitoria,16:15:00,En hora,180,Airbus A320,S,NAC,Jueves,Tarde,0,0,Low_Cost,0.95
400,2025-11-20,Grupo easy,EC1378,geneva,16:50:00,En hora,180,Airbus A320,R,EU,Jueves,Tarde,0,0,Low_Cost,0.95
402,2025-11-20,Grupo easy,EC7173,berlin,17:25:00,En hora,156,Airbus A319,R,EU,Jueves,Tarde,0,0,Low_Cost,0.97
404,2025-11-20,Volotea,V72327,strasbourg,17:30:00,En hora,180,Airbus A320,S,EU,Jueves,Tarde,0,0,Low_Cost,0.95
405,2025-11-20,Transavia,HV5136,amsterdam,17:45:00,En hora,189,Boeing 737-800,U,EU,Jueves,Tarde,0,0,Low_Cost,0.95
409,2025-11-20,Grupo easy,EC7139,rennes/saint-jacques,18:15:00,En hora,180,Airbus A320,R,EU,Jueves,Tarde,0,0,Low_Cost,0.95
412,2025-11-20,Grupo easy,EC7103,"basel, switzerland/mulhouse",18:40:00,En hora,156,Airbus A319,R,EU,Jueves,Tarde,0,0,Low_Cost,0.95
414,2025-11-20,Grupo wizz,W43180,bucharest,18:45:00,En hora,230,Airbus A321,U,EU,Jueves,Tarde,0,0,Low_Cost,0.95
415,2025-11-20,Grupo wizz,W61176,katowice,18:55:00,En hora,180,Airbus A320,U,EU,Jueves,Tarde,0,0,Low_Cost,0.95
417,2025-11-20,Grupo easy,EC7155,milan,19:15:00,En hora,156,Airbus A319,R,EU,Jueves,Tarde,0,0,Low_Cost,0.97
420,2025-11-20,Eurowings,EW9443,dusseldorf,19:35:00,En hora,180,Airbus A320,S,EU,Jueves,Tarde,0,0,Low_Cost,0.95
421,2025-11-20,Grupo wizz,W64406,sofia,19:35:00,En hora,239,Airbus A321neo,U,EU,Jueves,Tarde,0,0,Low_Cost,0.97
422,2025-11-20,Air Arabia Maroc,3O378,tanger,19:40:00,En hora,174,Airbus A320,W,INT,Jueves,Tarde,0,0,Low_Cost,0.95
423,2025-11-20,Eurowings,EW2521,stuttgart,19:40:00,En hora,180,Airbus A320,S,EU,Jueves,Tarde,0,0,Low_Cost,0.95
424,2025-11-20,Grupo wizz,W61478,warsaw,19:40:00,En hora,239,Airbus A321neo,S,EU,Jueves,Tarde,0,0,Low_Cost,0.97
426,2025-11-20,Grupo easy,U28058,london,19:45:00,En hora,156,Airbus A319,M,INT,Jueves,Tarde,0,0,Low_Cost,0.97
428,2025-11-20,Volotea,V72167,lille/lesquin,19:55:00,En hora,180,Airbus A320,R,EU,Jueves,Tarde,0,0,Low_Cost,0.95
429,2025-11-20,Transavia,HV6788,eindhoven,20:00:00,En hora,189,Boeing 737-800,U,EU,Jueves,Noche,0,0,Low_Cost,0.95
430,2025-11-20,Grupo easy,EC1956,milan,20:15:00,En hora,180,Airbus A320,R,EU,Jueves,Noche,0,0,Low_Cost,0.97
431,2025-11-20,Air Arabia Maroc,3O376,al aaroui,20:25:00,En hora,174,Airbus A320,Y,INT,Jueves,Noche,0,0,Low_Cost,0.93
433,2025-11-20,Transavia,HV6064,rotterdam,20:30:00,En hora,189,Boeing 737-800,U,EU,Jueves,Noche,0,0,Low_Cost,0.95
435,2025-11-20,Grupo wizz,W62378,budapest,20:45:00,En hora,239,Airbus A321neo,U,EU,Jueves,Noche,0,0,Low_Cost,0.97
436,2025-11-20,Transavia,TO4759,paris,20:50:00,En hora,186,Airbus A320neo,U,EU,Jueves,Noche,0,0,Low_Cost,0.97
437,2025-11-20,Grupo easy,U22324,london,20:55:00,En hora,186,Airbus A320neo,M,INT,Jueves,Noche,0,0,Low_Cost,0.97
438,2025-11-20,Grupo wizz,W64738,skopje,20:55:00,En hora,239,Airbus A321neo,W,INT,Jueves,Noche,0,0,Low_Cost,0.95
440,2025-11-20,Aer Lingus,EI565,dublin,21:05:00,En hora,174,Airbus A320,W,INT,Jueves,Noche,0,0,Low_Cost,0.96
441,2025-11-20,Grupo easy,EC1380,geneva,21:15:00,En hora,180,Airbus A320,R,EU,Jueves,Noche,0,0,Low_Cost,0.95
443,2025-11-20,Grupo wizz,W43178,bucharest,21:20:00,En hora,230,Airbus A321,U,EU,Jueves,Noche,0,0,Low_Cost,0.95
444,2025-11-20,Grupo wizz,W43406,cluj-napoca,21:25:00,En hora,186,Airbus A320neo,S,EU,Jueves,Noche,0,0,Low_Cost,0.95
447,2025-11-20,Grupo wizz,W46020,rome,21:35:00,En hora,230,Airbus A321,U,EU,Jueves,Noche,0,0,Low_Cost,0.96
448,2025-11-20,Grupo wizz,W64116,belgrade,22:10:00,En hora,230,Airbus A321,W,INT,Jueves,Noche,0,0,Low_Cost,0.95
449,2025-11-20,Grupo wizz,W45154,tirana,22:45:00,En hora,239,Airbus A321neo,W,INT,Jueves,Noche,0,0,Low_Cost,0.95
450,2025-11-21,Grupo easy,EC7105,geneva,06:10:00,En hora,156,Airbus A319,R,EU,Viernes,Mañana,0,0,Low_Cost,0.95
457,2025-11-21,Grupo easy,EC7101,"basel, switzerland/mulhouse",07:20:00,En hora,156,Airbus A319,R,EU,Viernes,Mañana,0,0,Low_Cost,0.95
458,2025-11-21,Grupo easy,EC7199,edinburgh,07:20:00,En hora,156,Airbus A319,R,EU,Viernes,Mañana,0,0,Low_Cost,0.97
460,2025-11-21,Norwegian Air Sweden AOC,D85502,stockholm,08:00:00,En hora,189,Boeing 737-800,U,EU,Viernes,Mañana,0,0,Low_Cost,0.97
464,2025-11-21,Grupo easy,EC1376,geneva,08:40:00,Retrasado,156,Airbus A319,R,EU,Viernes,Mañana,0,0,Low_Cost,0.95
467,2025-11-21,Grupo wizz,W62048,krakow,09:05:00,Retrasado,239,Airbus A321neo,U,EU,Viernes,Mañana,0,0,Low_Cost,0.97
468,2025-11-21,Grupo easy,EC3737,milan,09:10:00,En hora,180,Airbus A320,R,EU,Viernes,Mañana,0,0,Low_Cost,0.97
470,2025-11-21,Air Arabia Maroc,3O374,casablanca,09:25:00,En hora,174,Airbus A320,W,INT,Viernes,Mañana,0,0,Low_Cost,0.95
472,2025-11-21,Grupo wizz,W43176,bucharest,09:25:00,En hora,230,Airbus A321,U,EU,Viernes,Mañana,0,0,Low_Cost,0.95
473,2025-11-21,Grupo wizz,W45088,tirana,09:25:00,Retrasado,230,Airbus A321,Y,INT,Viernes,Mañana,0,0,Low_Cost,0.95
474,2025-11-21,Grupo wizz,W62376,budapest,09:25:00,En hora,239,Airbus A321neo,U,EU,Viernes,Mañana,0,0,Low_Cost,0.97
477,2025-11-21,Transavia,HV6788,eindhoven,09:45:00,En hora,189,Boeing 737-800,S,EU,Viernes,Mañana,0,0,Low_Cost,0.95
478,2025-11-21,Grupo easy,U26654,birmingham,09:45:00,En hora,180,Airbus A320,M,INT,Viernes,Mañana,0,0,Low_Cost,0.97
479,2025-11-21,Air Arabia Maroc,3O378,tanger,09:50:00,Retrasado,174,Airbus A320,Y,INT,Viernes,Mañana,0,0,Low_Cost,0.95
480,2025-11-21,Grupo easy,EC7656,lisbon,09:55:00,Retrasado,230,Airbus A321,R,EU,Viernes,Mañana,0,0,Low_Cost,0.97
481,2025-11-21,Air Serbia,JU581,belgrade,09:55:00,Retrasado,144,Airbus A319,Y,INT,Viernes,Mañana,0,0,Legacy,0.86
483,2025-11-21,Grupo wizz,W46018,rome,10:00:00,En hora,239,Airbus A321neo,S,EU,Viernes,Mañana,0,0,Low_Cost,0.96
485,2025-11-21,Transavia,HV5132,amsterdam,10:05:00,Retrasado,232,Airbus A321neo,S,EU,Viernes,Mañana,0,0,Low_Cost,0.95
486,2025-11-21,Eurowings,EW7521,hamburg,10:10:00,Retrasado,180,Airbus A320,S,EU,Viernes,Mañana,0,0,Low_Cost,0.95
487,2025-11-21,Grupo wizz,W61476,warsaw,10:15:00,Retrasado,239,Airbus A321neo,U,EU,Viernes,Mañana,0,0,Low_Cost,0.97
489,2025-11-21,Grupo easy,U22002,manchester,10:25:00,En hora,186,Airbus A320neo,M,INT,Viernes,Mañana,0,0,Low_Cost,0.97
490,2025-11-21,Grupo easy,EC7131,nice/cote d'azur,10:30:00,En hora,156,Airbus A319,R,EU,Viernes,Mañana,0,0,Low_Cost,0.95
492,2025-11-21,Grupo easy,EC4212,napoli,10:35:00,Retrasado,180,Airbus A320,R,EU,Viernes,Mañana,0,0,Low_Cost,0.97
493,2025-11-21,Transavia,HV6064,rotterdam,10:40:00,Retrasado,189,Boeing 737-800,U,EU,Viernes,Mañana,0,0,Low_Cost,0.95
494,2025-11-21,Grupo easy,U22704,bristol,10:50:00,En hora,180,Airbus A320,M,INT,Viernes,Mañana,0,0,Low_Cost,0.93
499,2025-11-21,FLYONE Armenia,3F232,yerevan,11:30:00,Retrasado,180,Airbus A320,Y,INT,Viernes,Mañana,0,0,Low_Cost,0.95
500,2025-11-21,Aer Lingus,EI563,dublin,11:35:00,Retrasado,174,Airbus A320,Y,INT,Viernes,Mañana,0,0,Low_Cost,0.96
503,2025-11-21,Grupo easy,EC7141,strasbourg,11:45:00,En hora,156,Airbus A319,R,EU,Viernes,Mañana,0,0,Low_Cost,0.95
505,2025-11-21,Grupo easy,U28056,london,11:45:00,En hora,156,Airbus A319,M,INT,Viernes,Mañana,0,0,Low_Cost,0.97
506,2025-11-21,Icelandair,FI597,keflavik,11:50:00,Retrasado,160,Boeing 737 MAX 8,S,EU,Viernes,Mañana,0,0,Legacy,0.86
508,2025-11-21,Jet2,LS232,leeds bradford,12:00:00,Retrasado,189,Boeing 737 MAX 8,W,INT,Viernes,Tarde,0,0,Low_Cost,0.95
509,2025-11-21,Grupo easy,EC8064,london,12:15:00,En hora,156,Airbus A319,M,INT,Viernes,Tarde,0,0,Low_Cost,0.97
511,2025-11-21,Norwegian Air Sweden AOC,D83657,copenhagen,12:30:00,Retrasado,189,Boeing 737 MAX 8,S,EU,Viernes,Tarde,0,0,Low_Cost,0.97
514,2025-11-21,Pegasus Airlines,PC1092,istanbul,12:45:00,Retrasado,220,Airbus A321,Y,INT,Viernes,Tarde,0,0,Low_Cost,0.95
516,2025-11-21,Grupo wizz,W67022,bratislava,12:55:00,Retrasado,239,Airbus A321neo,U,EU,Viernes,Tarde,0,0,Low_Cost,0.95
517,2025-11-21,Grupo wizz,W46330,milan,13:10:00,Retrasado,230,Airbus A321,U,EU,Viernes,Tarde,0,0,Low_Cost,0.97
518,2025-11-21,Norwegian Air Shuttle,DY1741,oslo,13:25:00,En hora,189,Boeing 737-800,U,EU,Viernes,Tarde,0,0,Low_Cost,0.95
519,2025-11-21,Pegasus Airlines,PC1528,izmir,13:30:00,Retrasado,180,Airbus A320,Y,INT,Viernes,Tarde,0,0,Low_Cost,0.95
520,2025-11-21,Turkish Airlines,TK608,ankara,13:40:00,Retrasado,165,Boeing 737-800,W,INT,Viernes,Tarde,0,0,Legacy,0.86
522,2025-11-21,Jet2,LS804,manchester,13:50:00,En hora,189,Boeing 737-800,Y,INT,Viernes,Tarde,0,0,Low_Cost,0.97
524,2025-11-21,Air Baltic,BT684,riga,14:05:00,Retrasado,148,Airbus A220-300,S,EU,Viernes,Tarde,0,0,Low_Cost,0.97
525,2025-11-21,Azores Airlines,S4507,ponta delgada,14:10:00,En hora,186,Airbus A320neo,U,EU,Viernes,Tarde,0,0,Low_Cost,0.95
526,2025-11-21,Grupo easy,EC7153,milan,14:20:00,En hora,156,Airbus A319,R,EU,Viernes,Tarde,0,0,Low_Cost,0.97
528,2025-11-21,Transavia,TO4755,paris,14:20:00,En hora,186,Airbus A320neo,S,EU,Viernes,Tarde,0,0,Low_Cost,0.97
530,2025-11-21,Grupo easy,EC7107,geneva,14:40:00,En hora,156,Airbus A319,R,EU,Viernes,Tarde,0,0,Low_Cost,0.95
531,2025-11-21,Volotea,V71443,ancona,14:45:00,En hora,180,Airbus A320,S,EU,Viernes,Tarde,0,0,Low_Cost,0.95
532,2025-11-21,Grupo wizz,W64406,sofia,14:50:00,Retrasado,239,Airbus A321neo,U,EU,Viernes,Tarde,0,0,Low_Cost,0.97
535,2025-11-21,SmartWings,QS1059,prague,14:55:00,En hora,189,Boeing 737-800,U,EU,Viernes,Tarde,0,0,Low_Cost,0.97
538,2025-11-21,Volotea,V73735,murcia,15:15:00,Retrasado,156,Airbus A319,S,NAC,Viernes,Tarde,0,0,Low_Cost,0.95
540,2025-11-21,Grupo wizz,W46728,venice,15:40:00,En hora,239,Airbus A321neo,S,EU,Viernes,Tarde,0,0,Low_Cost,0.97
541,2025-11-21,Pegasus Airlines,PC1094,istanbul,15:45:00,Retrasado,220,Airbus A321,W,INT,Viernes,Tarde,0,0,Low_Cost,0.95
543,2025-11-21,Norwegian Air Sweden AOC,D85510,copenhagen,16:15:00,Retrasado,189,Boeing 737-800,U,EU,Viernes,Tarde,0,0,Low_Cost,0.97
546,2025-11-21,Grupo wizz,W43564,timisoara,16:25:00,En hora,180,Airbus A320,U,EU,Viernes,Tarde,0,0,Low_Cost,0.95
548,2025-11-21,Grupo easy,EC7173,berlin,16:50:00,En hora,156,Airbus A319,R,EU,Viernes,Tarde,0,0,Low_Cost,0.97
549,2025-11-21,Volotea,V73700,vitoria,16:50:00,Retrasado,180,Airbus A320,R,NAC,Viernes,Tarde,0,0,Low_Cost,0.95
552,2025-11-21,Grupo wizz,W67920,kopitnari,17:15:00,En hora,239,Airbus A321neo,W,INT,Viernes,Tarde,0,0,Low_Cost,0.95
554,2025-11-21,Volotea,V73573,asturias,17:40:00,En hora,156,Airbus A319,S,NAC,Viernes,Tarde,0,0,Low_Cost,0.95
555,2025-11-21,Transavia,HV5134,amsterdam,17:45:00,En hora,189,Boeing 737-800,U,EU,Viernes,Tarde,0,0,Low_Cost,0.95
558,2025-11-21,Grupo easy,EC7205,southampton,18:10:00,En hora,156,Airbus A319,R,EU,Viernes,Tarde,0,0,Low_Cost,0.95
559,2025-11-21,Air Arabia Maroc,3O398,rabat,18:30:00,En hora,174,Airbus A320,W,INT,Viernes,Tarde,0,0,Low_Cost,0.9
560,2025-11-21,FlyOne,5F5512,chisinau,18:30:00,Retrasado,180,Airbus A320,Y,INT,Viernes,Tarde,0,0,Low_Cost,0.95
561,2025-11-21,Grupo wizz,W43686,iasi,18:30:00,Retrasado,180,Airbus A320,U,EU,Viernes,Tarde,0,0,Low_Cost,0.95
563,2025-11-21,Grupo easy,EC7103,"basel, switzerland/mulhouse",18:45:00,En hora,156,Airbus A319,R,EU,Viernes,Tarde,0,0,Low_Cost,0.95
565,2025-11-21,Grupo wizz,W61478,warsaw,19:00:00,En hora,239,Airbus A321neo,U,EU,Viernes,Tarde,0,0,Low_Cost,0.97
566,2025-11-21,Grupo easy,EC7155,milan,19:10:00,En hora,156,Airbus A319,R,EU,Viernes,Tarde,0,0,Low_Cost,0.97
570,2025-11-21,Volotea,V72165,nantes/atlantique,19:30:00,En hora,156,Airbus A319,S,EU,Viernes,Tarde,0,0,Low_Cost,0.95
571,2025-11-21,Eurowings,EW9443,dusseldorf,19:35:00,Retrasado,232,Airbus A321neo,S,EU,Viernes,Tarde,0,0,Low_Cost,0.95
574,2025-11-21,Grupo easy,U28058,london,19:40:00,En hora,156,Airbus A319,M,INT,Viernes,Tarde,0,0,Low_Cost,0.97
576,2025-11-21,Eurowings,EW2521,stuttgart,19:55:00,Retrasado,226,Airbus A321,U,EU,Viernes,Tarde,0,0,Low_Cost,0.95
577,2025-11-21,Volotea,V71415,verona,19:55:00,Retrasado,180,Airbus A320,U,EU,Viernes,Tarde,0,0,Low_Cost,0.95
578,2025-11-21,Grupo wizz,W64666,larnaca,19:55:00,Retrasado,230,Airbus A321,Y,INT,Viernes,Tarde,0,0,Low_Cost,0.95
583,2025-11-21,Grupo wizz,W62096,krakow,20:10:00,Retrasado,239,Airbus A321neo,S,EU,Viernes,Noche,0,0,Low_Cost,0.97
584,2025-11-21,Grupo easy,EC1956,milan,20:15:00,Retrasado,180,Airbus A320,R,EU,Viernes,Noche,0,0,Low_Cost,0.97
585,2025-11-21,Grupo wizz,W42940,vienna,20:20:00,Retrasado,239,Airbus A321neo,S,EU,Viernes,Noche,0,0,Low_Cost,0.97
587,2025-11-21,T'Way Air,TW408,seoul/incheon,20:30:00,Retrasado,246,Airbus A330-200,W,INT,Viernes,Noche,0,0,Low_Cost,0.95
588,2025-11-21,Volotea,V72135,bordeaux,20:30:00,Retrasado,180,Airbus A320,R,EU,Viernes,Noche,0,0,Low_Cost,0.95
591,2025-11-21,Air Serbia,JU585,belgrade,20:35:00,Retrasado,144,Airbus A319,Y,INT,Viernes,Noche,0,0,Legacy,0.86
593,2025-11-21,Luxair,LG3592,luxembourg,20:40:00,Retrasado,186,Boeing 737-800,S,EU,Viernes,Noche,0,0,Legacy,0.86
594,2025-11-21,Grupo wizz,W62378,budapest,20:45:00,Retrasado,239,Airbus A321neo,S,EU,Viernes,Noche,0,0,Low_Cost,0.97
596,2025-11-21,Transavia,TO4759,paris,20:50:00,Retrasado,186,Airbus A320neo,U,EU,Viernes,Noche,0,0,Low_Cost,0.97
597,2025-11-21,Grupo easy,U22326,london,20:55:00,En hora,180,Airbus A320,M,INT,Viernes,Noche,0,0,Low_Cost,0.97
599,2025-11-21,Aer Lingus,EI565,dublin,21:05:00,En hora,174,Airbus A320,Y,INT,Viernes,Noche,0,0,Low_Cost,0.96
600,2025-11-21,Grupo easy,U23374,liverpool,21:05:00,En hora,180,Airbus A320,M,INT,Viernes,Noche,0,0,Low_Cost,0.92
602,2025-11-21,Grupo easy,EC1380,geneva,21:15:00,Retrasado,180,Airbus A320,R,EU,Viernes,Noche,0,0,Low_Cost,0.95
603,2025-11-21,Grupo wizz,W43178,bucharest,21:20:00,En hora,230,Airbus A321,U,EU,Viernes,Noche,0,0,Low_Cost,0.95
604,2025-11-21,Grupo wizz,W43406,cluj-napoca,21:25:00,En hora,186,Airbus A320neo,R,EU,Viernes,Noche,0,0,Low_Cost,0.95
607,2025-11-21,Grupo wizz,W46020,rome,21:35:00,Retrasado,239,Airbus A321neo,S,EU,Viernes,Noche,0,0,Low_Cost,0.96
613,2025-11-21,Grupo wizz,W64116,belgrade,21:55:00,Retrasado,239,Airbus A321neo,W,INT,Viernes,Noche,0,0,Low_Cost,0.95
615,2025-11-21,Grupo wizz,W45154,tirana,22:45:00,En hora,230,Airbus A321,Y,INT,Viernes,Noche,0,0,Low_Cost,0.95
616,2025-11-21,Grupo wizz,W61706,gdansk,22:50:00,En hora,239,Airbus A321neo,S,EU,Viernes,Noche,0,0,Low_Cost,0.96
619,2025-11-22,Grupo easy,EC7105,geneva,06:10:00,En hora,156,Airbus A319,R,EU,Sábado,Mañana,0,0,Low_Cost,0.95
624,2025-11-22,Grupo easy,EC7151,milan,07:30:00,En hora,156,Airbus A319,R,EU,Sábado,Mañana,0,0,Low_Cost,0.97
627,2025-11-22,Air Arabia Maroc,3O376,al aaroui,08:35:00,En hora,174,Airbus A320,W,INT,Sábado,Mañana,0,0,Low_Cost,0.92
631,2025-11-22,Grupo wizz,W43938,chisinau,09:00:00,En hora,180,Airbus A320,Y,INT,Sábado,Mañana,0,0,Low_Cost,0.95
632,2025-11-22,Grupo wizz,W62048,krakow,09:05:00,En hora,239,Airbus A321neo,S,EU,Sábado,Mañana,0,0,Low_Cost,0.97
634,2025-11-22,Transavia,TO4751,paris,09:15:00,En hora,189,Boeing 737-800,U,EU,Sábado,Mañana,0,0,Low_Cost,0.97
638,2025-11-22,Grupo wizz,W61914,vilnius,09:20:00,En hora,239,Airbus A321neo,S,EU,Sábado,Mañana,0,0,Low_Cost,0.97
639,2025-11-22,Grupo wizz,W43176,bucharest,09:25:00,Retrasado,239,Airbus A321neo,U,EU,Sábado,Mañana,0,0,Low_Cost,0.95
640,2025-11-22,Grupo wizz,W62376,budapest,09:25:00,En hora,239,Airbus A321neo,U,EU,Sábado,Mañana,0,0,Low_Cost,0.97
642,2025-11-22,Grupo wizz,W42938,vienna,09:35:00,En hora,239,Airbus A321neo,S,EU,Sábado,Mañana,0,0,Low_Cost,0.97
643,2025-11-22,Air Serbia,JU581,belgrade,09:55:00,En hora,144,Airbus A319,Y,INT,Sábado,Mañana,0,0,Legacy,0.86
645,2025-11-22,Grupo wizz,W46018,rome,10:00:00,En hora,239,Airbus A321neo,S,EU,Sábado,Mañana,0,0,Low_Cost,0.96
646,2025-11-22,Transavia,HV5132,amsterdam,10:05:00,Retrasado,232,Airbus A321neo,U,EU,Sábado,Mañana,0,0,Low_Cost,0.95
647,2025-11-22,Grupo wizz,W61476,warsaw,10:15:00,En hora,239,Airbus A321neo,R,EU,Sábado,Mañana,0,0,Low_Cost,0.97
649,2025-11-22,Grupo easy,U22326,london,10:20:00,En hora,180,Airbus A320,M,INT,Sábado,Mañana,0,0,Low_Cost,0.97
653,2025-11-22,Grupo easy,U28056,london,10:35:00,En hora,156,Airbus A319,M,INT,Sábado,Mañana,0,0,Low_Cost,0.97
