,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time
45,2025-11-17,Grupo easy,U28056,London (LGW),10:40:00,Retrasado,180,Airbus A320,M,INT,Lunes,Mañana
46,2025-11-17,Grupo Ryanair,FR2239,Marrakech (RAK),10:45:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Mañana
47,2025-11-17,Grupo Ryanair,FR3121,Beauvais (BVA),10:45:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana
48,2025-11-17,Grupo Ryanair,FR3976,Dublin (DUB),10:45:00,En hora,189,Boeing 737-800,W,INT,Lunes,Mañana
49,2025-11-17,Grupo Ryanair,FR3039,Prague (PRG),10:55:00,Retrasado,189,Boeing 737-800,U,EU,Lunes,Mañana
50,2025-11-17,Grupo Ryanair,FR9045,London (STN),11:00:00,En hora,189,Boeing 737-800,W,INT,Lunes,Mañana
51,2025-11-17,Grupo easy,U22002,Manchester (MAN),11:20:00,Retrasado,180,Airbus A320,M,INT,Lunes,Mañana
52,2025-11-17,FLYONE Armenia,3F232,Yerevan (EVN),11:30:00,En hora,180,Airbus A320,Y,INT,Lunes,Mañana
53,2025-11-17,Aer Lingus,EI563,Dublin (DUB),11:30:00,En hora,174,Airbus A320,Y,INT,Lunes,Mañana
54,2025-11-17,Grupo Ryanair,FR7539,Milan (MXP),11:30:00,En hora,189,Boeing 737-800,R,EU,Lunes,Mañana
55,2025-11-17,Transavia,TO4755,Paris (ORY),11:30:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana
56,2025-11-17,Grupo Ryanair,FR1279,Copenhagen (CPH),11:35:00,En hora,189,Boeing 737-800,S,EU,Lunes,Mañana
57,2025-11-17,Grupo easy,EC7197,Birmingham (BHX),11:40:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana
58,2025-11-17,Grupo Ryanair,FR777,Venice (VCE),11:55:00,En hora,197,Boeing 737 MAX 8,S,EU,Lunes,Mañana
59,2025-11-17,Grupo Ryanair,FR8217,London (STN),12:00:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde
60,2025-11-17,Jet2,LS232,Leeds Bradford (LBA),12:00:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde
61,2025-11-17,Grupo Ryanair,FR3129,Ibiza (IBZ),12:35:00,Retrasado,189,Boeing 737-800,R,NAC,Lunes,Tarde
62,2025-11-17,Grupo Ryanair,FR6973,Rome (FCO),12:35:00,Retrasado,197,Boeing 737 MAX 8,S,EU,Lunes,Tarde
63,2025-11-17,Grupo Ryanair,FR774,Torino (TRN),12:40:00,En hora,189,Boeing 737-800,S,EU,Lunes,Tarde
64,2025-11-17,Pegasus Airlines,PC1092,Istanbul (SAW),12:45:00,En hora,180,Airbus A320,W,INT,Lunes,Tarde
65,2025-11-17,Norwegian Air Sweden AOC,D83657,Copenhagen (CPH),12:50:00,En hora,189,Boeing 737 MAX 8,S,EU,Lunes,Tarde
66,2025-11-17,Grupo easy,EC7137,Lyon (LYS),12:55:00,En hora,156,Airbus A319,R,EU,Lunes,Tarde
67,2025-11-17,Grupo wizz,W67022,Bratislava (BTS),12:55:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Tarde
68,2025-11-17,Grupo Ryanair,FR3108,Luxembourg (LUX),13:00:00,Retrasado,197,Boeing 737 MAX 8,U,EU,Lunes,Tarde
69,2025-11-17,Grupo wizz,W46330,Milan (MXP),13:10:00,En hora,239,Airbus A321neo,U,EU,Lunes,Tarde
70,2025-11-17,Grupo Ryanair,FR8631,Tanger (TNG),13:20:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Tarde
71,2025-11-17,HiSky,H4264,Bucharest (OTP),13:20:00,En hora,186,Airbus A320,S,EU,Lunes,Tarde
72,2025-11-17,Norwegian Air Sweden AOC,D81741,Oslo (OSL),13:25:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde
73,2025-11-17,Eurowings,EW521,Cologne-Bonn (CGN),13:25:00,En hora,180,Airbus A320,U,EU,Lunes,Tarde
74,2025-11-17,Pegasus Airlines,PC1528,Izmir (ADB),13:30:00,En hora,180,Airbus A320,Y,INT,Lunes,Tarde
75,2025-11-17,Luxair,LG3592,Luxembourg (LUX),13:35:00,Retrasado,76,de Havilland Dash 8-400,U,EU,Lunes,Tarde
76,2025-11-17,Grupo easy,EC7153,Milan (MXP),13:40:00,Retrasado,156,Airbus A319,R,EU,Lunes,Tarde
77,2025-11-17,Grupo Ryanair,FR4585,Porto (OPO),13:40:00,Retrasado,189,Boeing 737-800,S,EU,Lunes,Tarde
78,2025-11-17,Turkish Airlines,TK608,Ankara (ESB),13:40:00,Retrasado,165,Boeing 737-800,Y,INT,Lunes,Tarde
79,2025-11-17,Grupo Ryanair,FR3189,Fes (FEZ),13:50:00,Retrasado,189,Boeing 737-800,W,INT,Lunes,Tarde
80,2025-11-17,Jet2,LS804,Manchester (MAN),13:50:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde
81,2025-11-17,Grupo Ryanair,FR3792,Birmingham (BHX),13:55:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde
82,2025-11-17,Air Baltic,BT684,Riga (RIX),14:05:00,Retrasado,148,Airbus A220-300,U,EU,Lunes,Tarde
83,2025-11-17,Grupo Ryanair,FR2889,Palma de Mallorca (PMI),14:05:00,Retrasado,189,Boeing 737-800,S,NAC,Lunes,Tarde
84,2025-11-17,Norwegian Air Sweden AOC,D85502,Stockholm (ARN),14:40:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde
85,2025-11-17,Bluebird Airways,BZ251,Tel Aviv (TLV),14:45:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde
86,2025-11-17,Grupo easy,EC7107,Geneva (GVA),14:45:00,Retrasado,156,Airbus A319,R,EU,Lunes,Tarde
87,2025-11-17,Volotea,V71443,Ancona (AOI),14:45:00,En hora,180,Airbus A320,S,EU,Lunes,Tarde
88,2025-11-17,Grupo wizz,W64406,Sofia (SOF),14:50:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Tarde
89,2025-11-17,Grupo easy,EC4212,Napoli (NAP),14:55:00,En hora,180,Airbus A320,R,EU,Lunes,Tarde
90,2025-11-17,SmartWings,QS1059,Prague (PRG),14:55:00,Retrasado,189,Boeing 737-800,S,EU,Lunes,Tarde
91,2025-11-17,Air Arabia Maroc,3O376,Al Aaroui (NDR),15:00:00,En hora,174,Airbus A320,Y,INT,Lunes,Tarde
92,2025-11-17,Grupo Ryanair,FR3146,Oujda (OUD),15:10:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Tarde
93,2025-11-17,Grupo Ryanair,FR1681,Frankfurt-Hahn (HHN),15:35:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde
94,2025-11-17,Grupo wizz,W46728,Venice (VCE),15:40:00,En hora,230,Airbus A321,S,EU,Lunes,Tarde
95,2025-11-17,Pegasus Airlines,PC1094,Istanbul (SAW),15:45:00,Retrasado,239,Airbus A321neo,W,INT,Lunes,Tarde
96,2025-11-17,Grupo Ryanair,FR867,Venice (VCE),16:05:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde
97,2025-11-17,Grupo Ryanair,FR9811,London (STN),16:05:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Tarde
98,2025-11-17,Grupo wizz,W43564,Timisoara (TSR),16:25:00,Retrasado,180,Airbus A320,S,EU,Lunes,Tarde
99,2025-11-17,Volotea,V73735,Murcia (RMU),16:35:00,En hora,180,Airbus A320,R,NAC,Lunes,Tarde
100,2025-11-17,Grupo Ryanair,FR2507,Cologne-Bonn (CGN),16:45:00,En hora,197,Boeing 737 MAX 8,U,EU,Lunes,Tarde
101,2025-11-17,Grupo Ryanair,FR5718,Bratislava (BTS),16:50:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde
102,2025-11-17,Grupo Ryanair,FR6305,Milan (BGY),16:50:00,En hora,189,Boeing 737-800,S,EU,Lunes,Tarde
103,2025-11-17,Grupo Ryanair,RR6874,Dublin (DUB),16:55:00,Retrasado,189,Boeing 737-800,W,INT,Lunes,Tarde
104,2025-11-17,Grupo easy,U23372,Liverpool (LPL),17:00:00,En hora,156,Airbus A319,M,INT,Lunes,Tarde
105,2025-11-17,Grupo Ryanair,FR5270,Manchester (MAN),17:05:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Tarde
106,2025-11-17,Grupo Ryanair,RR6300,Sofia (SOF),17:05:00,En hora,189,Boeing 737-800,S,EU,Lunes,Tarde
107,2025-11-17,Grupo easy,EC7173,Berlin (BER),17:10:00,En hora,156,Airbus A319,R,EU,Lunes,Tarde
108,2025-11-17,Volotea,V73700,Vitoria (VIT),17:15:00,En hora,156,Airbus A319,S,NAC,Lunes,Tarde
109,2025-11-17,Grupo wizz,W67920,Kopitnari (KUT),17:15:00,Retrasado,239,Airbus A321neo,W,INT,Lunes,Tarde
110,2025-11-17,Grupo Ryanair,FR1786,Vilnius (VNO),17:30:00,En hora,189,Boeing 737-800,S,EU,Lunes,Tarde
111,2025-11-17,Grupo Ryanair,FR2922,Brussels (BRU),17:30:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde
112,2025-11-17,Grupo easy,EC3737,Milan (MXP),17:35:00,En hora,180,Airbus A320,R,EU,Lunes,Tarde
113,2025-11-17,Grupo easy,EC7199,Edinburgh (EDI),17:35:00,En hora,156,Airbus A319,R,EU,Lunes,Tarde
114,2025-11-17,Transavia,HV5134,Amsterdam (AMS),17:50:00,Retrasado,232,Airbus A321neo,R,EU,Lunes,Tarde
115,2025-11-17,Grupo Ryanair,RR333,Gdansk (GDN),17:55:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde
116,2025-11-17,Grupo Ryanair,FR269,Milan (MXP),18:00:00,Retrasado,189,Boeing 737-800,U,EU,Lunes,Tarde
117,2025-11-17,Grupo easy,EC7205,Southampton (SOU),18:05:00,En hora,156,Airbus A319,R,EU,Lunes,Tarde
118,2025-11-17,Grupo Ryanair,FR3320,Milan (BGY),18:30:00,En hora,197,Boeing 737 MAX 8,S,EU,Lunes,Tarde
119,2025-11-17,Grupo wizz,W43686,Iasi (IAS),18:30:00,En hora,180,Airbus A320,R,EU,Lunes,Tarde
120,2025-11-17,Grupo Ryanair,FR3174,Ibiza (IBZ),18:45:00,Retrasado,189,Boeing 737-800,S,NAC,Lunes,Tarde
121,2025-11-17,Grupo wizz,W61478,Warsaw (WAW),19:00:00,En hora,239,Airbus A321neo,S,EU,Lunes,Tarde
122,2025-11-17,Grupo Ryanair,FR3185,Rabat (RBA),19:05:00,Retrasado,189,Boeing 737-800,Y,INT,Lunes,Tarde
123,2025-11-17,Grupo Ryanair,FR9307,Cork (ORK),19:15:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Tarde
124,2025-11-17,Grupo Ryanair,FR8231,London (STN),19:25:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Tarde
125,2025-11-17,Eurowings,EW7521,Hamburg (HAM),19:40:00,En hora,180,Airbus A320,U,EU,Lunes,Tarde
126,2025-11-17,Grupo Ryanair,LW2896,Palma de Mallorca (PMI),19:40:00,En hora,180,Airbus A320,S,NAC,Lunes,Tarde
127,2025-11-17,Grupo wizz,W61706,Gdansk (GDN),19:40:00,En hora,239,Airbus A321neo,S,EU,Lunes,Tarde
128,2025-11-17,Grupo Ryanair,FR133,Berlin (BER),19:45:00,En hora,197,Boeing 737 MAX 8,R,EU,Lunes,Tarde
129,2025-11-17,Grupo Ryanair,LW7351,Vienna (VIE),19:45:00,En hora,180,Airbus A320,R,EU,Lunes,Tarde
