,fecha_scrapeo,Num_flight,Name_Destiny,Time_flight,flight_capacity,Type_f,week_day,day_time,OCC,OCC_pred
71,2025-11-17,FR2402,sevilla,21:30:00,189,NAC,Lunes,Noche,,0.96
72,2025-11-17,FR4084,warsaw,21:30:00,189,EU,Lunes,Noche,,0.98
73,2025-11-17,FR3168,newcastle,21:45:00,189,INT,Lunes,Noche,,0.88
74,2025-11-17,FR4587,porto,21:45:00,197,EU,Lunes,Noche,,0.88
75,2025-11-17,FR1527,valletta,21:50:00,197,EU,Lunes,Noche,,0.91
76,2025-11-17,FR2250,marrakech,21:50:00,197,EU,Lunes,Noche,,0.88
77,2025-11-17,FR8574,rome,22:20:00,189,EU,Lunes,Noche,,0.93
78,2025-11-18,FR3189,fes,06:15:00,189,INT,Martes,Mañana,,0.6
79,2025-11-18,FR2507,cologne-bonn,06:20:00,197,EU,Martes,Mañana,,0.98
80,2025-11-18,FR4545,porto,06:35:00,197,EU,Martes,Mañana,,0.8
81,2025-11-18,FR3166,palermo,07:35:00,189,EU,Martes,Mañana,,0.96
82,2025-11-18,FR5718,bratislava,07:35:00,189,EU,Martes,Mañana,,0.92
83,2025-11-18,FR3193,riga,07:55:00,189,EU,Martes,Mañana,,0.93
84,2025-11-18,FR133,berlin,08:50:00,189,EU,Martes,Mañana,,0.98
85,2025-11-18,FR3035,krakow,09:10:00,189,EU,Martes,Mañana,,0.98
86,2025-11-18,FR3807,charleroi,09:10:00,189,EU,Martes,Mañana,,0.95
87,2025-11-18,FR12,vienna,10:15:00,180,EU,Martes,Mañana,,0.98
88,2025-11-18,FR1279,copenhagen,10:25:00,197,EU,Martes,Mañana,,0.97
89,2025-11-18,FR5270,manchester,10:30:00,197,INT,Martes,Mañana,,0.96
90,2025-11-18,FR58,napoli,11:40:00,189,EU,Martes,Mañana,,0.98
91,2025-11-18,FR3108,luxembourg,12:15:00,189,EU,Martes,Tarde,,0.93
92,2025-11-18,FR8384,budapest,12:35:00,197,EU,Martes,Tarde,,0.98
93,2025-11-18,FR6267,edinburgh,12:55:00,197,INT,Martes,Tarde,,0.98
94,2025-11-18,FR2239,marrakech,14:00:00,189,INT,Martes,Tarde,,0.91
95,2025-11-18,FR3076,stockholm,14:05:00,189,EU,Martes,Tarde,,0.98
96,2025-11-18,FR3792,birmingham,16:20:00,197,INT,Martes,Tarde,,0.96
97,2025-11-18,FR846,milan,16:55:00,189,EU,Martes,Tarde,,0.95
98,2025-11-18,FR1165,sevilla,17:05:00,197,NAC,Martes,Tarde,,0.96
99,2025-11-18,FR575,bologna,17:25:00,197,EU,Martes,Tarde,,0.97
100,2025-11-18,FR3180,rome,18:00:00,189,EU,Martes,Tarde,,0.95
101,2025-11-18,FR6300,sofia,18:15:00,197,EU,Martes,Tarde,,0.97
102,2025-11-18,FR777,venice,18:40:00,189,EU,Martes,Tarde,,0.97
103,2025-11-18,FR2834,charleroi,18:45:00,197,EU,Martes,Tarde,,0.95
104,2025-11-18,FR9015,london,19:25:00,189,INT,Martes,Tarde,,0.94
105,2025-11-18,FR4084,warsaw,20:15:00,189,EU,Martes,Noche,,0.98
106,2025-11-18,FR6394,dublin,21:15:00,197,INT,Martes,Noche,,0.95
107,2025-11-18,FR4585,porto,22:00:00,197,EU,Martes,Noche,,0.88
108,2025-11-19,FR2918,brussels,06:05:00,189,EU,Miércoles,Mañana,,0.95
109,2025-11-19,FR3185,rabat,06:05:00,189,INT,Miércoles,Mañana,,0.76
110,2025-11-19,FR9406,fes,06:05:00,189,INT,Miércoles,Mañana,,0.6
111,2025-11-19,FR483,malaga,06:15:00,189,NAC,Miércoles,Mañana,,0.84
112,2025-11-19,FR2239,marrakech,06:35:00,189,INT,Miércoles,Mañana,,0.8
113,2025-11-19,FR3028,ibiza,06:45:00,189,NAC,Miércoles,Mañana,,0.55
114,2025-11-19,FR3108,luxembourg,06:50:00,197,EU,Miércoles,Mañana,,0.89
115,2025-11-19,FR8384,budapest,09:30:00,189,EU,Miércoles,Mañana,,0.98
116,2025-11-19,FR2834,charleroi,09:45:00,197,EU,Miércoles,Mañana,,0.95
117,2025-11-19,FR4545,porto,09:45:00,197,EU,Miércoles,Mañana,,0.9
118,2025-11-19,FR3049,krakow,09:55:00,197,EU,Miércoles,Mañana,,0.98
119,2025-11-19,FR3078,lisbon,10:15:00,189,EU,Miércoles,Mañana,,0.98
120,2025-11-19,FR3039,prague,10:20:00,189,EU,Miércoles,Mañana,,0.98
121,2025-11-19,FR6267,edinburgh,10:45:00,197,INT,Miércoles,Mañana,,0.98
122,2025-11-19,FR2507,cologne-bonn,11:00:00,197,EU,Miércoles,Mañana,,0.98
123,2025-11-19,FR575,bologna,11:40:00,189,EU,Miércoles,Mañana,,0.97
124,2025-11-19,FR9925,frankfurt-hahn,12:35:00,189,EU,Miércoles,Tarde,,0.98
125,2025-11-19,FR6597,manchester,13:00:00,197,INT,Miércoles,Tarde,,0.96
126,2025-11-19,FR3792,birmingham,13:10:00,189,INT,Miércoles,Tarde,,0.96
127,2025-11-19,FR777,venice,15:10:00,197,EU,Miércoles,Tarde,,0.97
128,2025-11-19,FR12,vienna,15:15:00,197,EU,Miércoles,Tarde,,0.98
129,2025-11-19,FR3035,krakow,16:15:00,197,EU,Miércoles,Tarde,,0.98
130,2025-11-19,FR3928,trieste,16:50:00,189,EU,Miércoles,Tarde,,0.93
131,2025-11-19,FR5718,bratislava,16:50:00,189,EU,Miércoles,Tarde,,0.94
132,2025-11-19,FR4585,porto,17:30:00,189,EU,Miércoles,Tarde,,0.91
133,2025-11-19,FR3180,rome,18:00:00,189,EU,Miércoles,Tarde,,0.95
134,2025-11-19,FR8231,london,19:00:00,189,INT,Miércoles,Tarde,,0.94
135,2025-11-19,FR1165,sevilla,19:10:00,197,NAC,Miércoles,Tarde,,0.96
136,2025-11-19,FR9334,marrakech,19:10:00,189,INT,Miércoles,Tarde,,0.91
137,2025-11-19,FR1342,palma de mallorca,19:15:00,189,NAC,Miércoles,Tarde,,0.91
138,2025-11-19,FR133,berlin,19:35:00,197,EU,Miércoles,Tarde,,0.98
139,2025-11-19,FR3143,milan,19:55:00,189,EU,Miércoles,Tarde,,0.95
140,2025-11-19,FR58,napoli,20:10:00,197,EU,Miércoles,Noche,,0.98
141,2025-11-19,FR5246,vilnius,20:10:00,197,EU,Miércoles,Noche,,0.98
142,2025-11-19,FR6394,dublin,22:05:00,189,INT,Miércoles,Noche,,0.93
143,2025-11-20,FR8215,london,06:00:00,189,INT,Jueves,Mañana,,0.92
144,2025-11-20,FR2918,brussels,06:05:00,189,EU,Jueves,Mañana,,0.95
145,2025-11-20,FR3976,dublin,06:15:00,197,INT,Jueves,Mañana,,0.95
146,2025-11-20,FR3049,krakow,06:40:00,197,EU,Jueves,Mañana,,0.98
147,2025-11-20,FR3028,ibiza,06:45:00,189,NAC,Jueves,Mañana,,0.55
148,2025-11-20,FR2495,palma de mallorca,07:20:00,180,NAC,Jueves,Mañana,,0.62
149,2025-11-20,FR133,berlin,07:25:00,189,EU,Jueves,Mañana,,0.98
150,2025-11-20,FR2507,cologne-bonn,07:45:00,197,EU,Jueves,Mañana,,0.98
151,2025-11-20,FR575,bologna,08:05:00,189,EU,Jueves,Mañana,,0.97
152,2025-11-20,FR774,torino,08:05:00,189,EU,Jueves,Mañana,,0.97
153,2025-11-20,FR3928,trieste,08:40:00,189,EU,Jueves,Mañana,,0.89
154,2025-11-20,FR6973,rome,08:40:00,189,EU,Jueves,Mañana,,0.95
155,2025-11-20,FR5710,napoli,09:05:00,189,EU,Jueves,Mañana,,0.98
156,2025-11-20,FR12,vienna,09:10:00,180,EU,Jueves,Mañana,,0.98
157,2025-11-20,FR3320,milan,09:30:00,189,EU,Jueves,Mañana,,0.95
158,2025-11-20,FR1279,copenhagen,10:00:00,197,EU,Jueves,Mañana,,0.97
159,2025-11-20,FR1165,sevilla,10:20:00,189,NAC,Jueves,Mañana,,0.96
160,2025-11-20,FR3121,paris,10:25:00,189,EU,Jueves,Mañana,,0.98
161,2025-11-20,FR8384,budapest,10:25:00,189,EU,Jueves,Mañana,,0.98
162,2025-11-20,FR3792,birmingham,11:00:00,189,INT,Jueves,Mañana,,0.96
163,2025-11-20,FR4545,porto,11:00:00,197,EU,Jueves,Mañana,,0.91
164,2025-11-20,FR3076,stockholm,11:10:00,189,EU,Jueves,Mañana,,0.98
165,2025-11-20,FR483,malaga,11:10:00,189,NAC,Jueves,Mañana,,0.92
166,2025-11-20,FR6597,manchester,11:20:00,189,INT,Jueves,Mañana,,0.96
167,2025-11-20,FR2239,marrakech,12:30:00,189,INT,Jueves,Tarde,,0.91
168,2025-11-20,FR3160,bristol,12:45:00,189,INT,Jueves,Tarde,,0.94
169,2025-11-20,FR1681,frankfurt-hahn,13:00:00,189,EU,Jueves,Tarde,,0.98
170,2025-11-20,FR3039,prague,13:30:00,197,EU,Jueves,Tarde,,0.98
171,2025-11-20,FR269,milan,13:40:00,189,EU,Jueves,Tarde,,0.95
172,2025-11-20,FR6267,edinburgh,13:45:00,197,INT,Jueves,Tarde,,0.98
173,2025-11-20,FR846,milan,13:45:00,197,EU,Jueves,Tarde,,0.95
174,2025-11-20,FR2233,al aaroui,14:00:00,189,INT,Jueves,Tarde,,0.92
175,2025-11-20,FR3189,fes,15:00:00,189,INT,Jueves,Tarde,,0.87
176,2025-11-20,FR149,berlin,15:40:00,189,EU,Jueves,Tarde,,0.98
177,2025-11-20,FR2922,brussels,16:05:00,189,EU,Jueves,Tarde,,0.95
178,2025-11-20,FR9045,london,16:30:00,197,INT,Jueves,Tarde,,0.94
179,2025-11-20,FR9913,tallinn,16:30:00,197,EU,Jueves,Tarde,,0.98
