time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-12-07 00:00:00,10,7.9,87,0,,330,13,14.8,1019,0,2
2025-12-07 01:00:00,10.3,8.2,87,0,,360,18,14.8,1019.4,0,1
2025-12-07 02:00:00,10,7.9,87,0,,330,17,16.7,1019,0,2
2025-12-07 03:00:00,10,7.1,82,0,,330,19,16.7,1019,0,2
2025-12-07 04:00:00,10,7.1,82,0,,330,19,20.4,1019,0,2
2025-12-07 05:00:00,9,7,87,0,,330,9,18.5,1018,0,2
2025-12-07 06:00:00,9,7,87,0,,330,17,22.2,1019,0,2
2025-12-07 07:00:00,8.8,6.4,85,0,,350,22,21,1019.1,0,1
2025-12-07 08:00:00,9,6.1,82,0,,320,20,22,1019,0,2
2025-12-07 09:00:00,10,7.1,82,0,,330,19,20.4,1019,24,2
2025-12-07 10:00:00,11,6.9,76,0,,330,17,20.4,1020,35,2
2025-12-07 11:00:00,12,8.1,77,0,,320,19,20,1020,40,2
2025-12-07 12:00:00,16,10.1,68,0,,310,9,24.1,1020,42,2
2025-12-07 13:00:00,18.4,12.6,69,0,,250,4,24.1,1019.4,45,4
2025-12-07 14:00:00,18,13.1,73,0,,230,11,25.9,1018,49,2
2025-12-07 15:00:00,20,13,64,0,,240,11,25.9,1018,46,2
2025-12-07 16:00:00,19,13,68,0,,240,19,24.1,1018,40,2
2025-12-07 17:00:00,18,13.1,73,0,,220,15,24.1,1018,28,2
2025-12-07 18:00:00,18,12,68,0,,340,11,16,1018,15,2
2025-12-07 19:00:00,16,10.1,68,0,,10,11,18,1019.5,0,4
2025-12-07 20:00:00,15,8.9,67,0,,320,11,20.4,1020,0,1
2025-12-07 21:00:00,14,9,72,0,,320,15,18.5,1020,0,1
2025-12-07 22:00:00,14,9,72,0,,320,19,20.4,1020,0,1
2025-12-07 23:00:00,13,9.1,77,0,,320,17,22.2,1020,0,2
2025-12-08 00:00:00,12,9,82,0,,320,19,20.4,1021,0,2
2025-12-08 01:00:00,11.3,9,86,0,,340,17,22.2,1021,0,3
2025-12-08 02:00:00,11,9.1,88,0,,320,20,22.2,1020,0,2
2025-12-08 03:00:00,11,9.1,88,0,,330,20,20.4,1020,0,2
2025-12-08 04:00:00,10,7.9,87,0,,330,24,27.8,1020,0,2
2025-12-08 05:00:00,10,7.9,87,0,,330,22,24.1,1020,0,2
2025-12-08 06:00:00,10,7.9,87,0,,330,22,24.1,1020,0,2
2025-12-08 07:00:00,9.7,7.1,84,0,,350,21,20.4,1020.9,0,1
2025-12-08 08:00:00,9,7,87,0,,320,20,26,1021,0,2
2025-12-08 09:00:00,9,7,87,0,,330,24,16.7,1021,30,1
2025-12-08 10:00:00,11,6.9,76,0,,330,22,14.8,1022,44,1
2025-12-08 11:00:00,13,8.1,72,0,,330,20,21,1022,52,1
2025-12-08 12:00:00,15,8,63,0,,320,17,13,1022,55,1
2025-12-08 13:00:00,17.5,11.5,68,0,,220,9,9.3,1021.4,54,1
2025-12-08 14:00:00,17,11,68,0,,220,13,9.3,1020,56,1
2025-12-08 15:00:00,17,11,68,0,,210,22,9.3,1020,58,1
2025-12-08 16:00:00,17,11.9,72,0,,220,19,11.1,1020,53,1
2025-12-08 17:00:00,16,11,72,0,,210,19,14.8,1020,39,1
2025-12-08 18:00:00,15,12,82,0,,220,13,14.8,1020,21,1
2025-12-08 19:00:00,14.1,10.9,81,0,,250,13,14.8,1020.6,0,1
2025-12-08 20:00:00,13,10,82,0,,280,9,16.7,1021,0,1
2025-12-08 21:00:00,12,9,82,0,,310,7,16.7,1021,0,1
2025-12-08 22:00:00,11,8,82,0,,320,7,16,1021,0,1
2025-12-08 23:00:00,10,7.1,82,0,,320,9,16.7,1021,0,1
2025-12-09 00:00:00,10,7.1,82,0,,320,9,16.7,1021,0,1
2025-12-09 01:00:00,9.5,7.1,85,0,,350,11,16.7,1021.5,0,2
2025-12-09 02:00:00,9,7,87,0,,310,11,18.5,1021,0,1
2025-12-09 03:00:00,9,7,87,0,,320,13,18.5,1021,0,1
2025-12-09 04:00:00,9,6.1,82,0,,320,13,16.7,1021,0,1
2025-12-09 05:00:00,8,6,87,0,,320,11,16.7,1021,0,1
2025-12-09 06:00:00,8,6,87,0,,320,11,18.5,1020,0,1
2025-12-09 07:00:00,7.9,5.9,87,0,,350,13,20,1021.2,0,3
2025-12-09 08:00:00,8,6,87,0,,320,15,16.7,1021,0,2
2025-12-09 09:00:00,9,6.1,82,0,,320,15,19,1021,26,2
2025-12-09 10:00:00,10,7.1,82,0,,320,13,20.4,1021,38,2
2025-12-09 11:00:00,12,8.1,77,0,,320,11,22.2,1022,45,2
2025-12-09 12:00:00,15,8.9,67,0,,320,9,24.1,1021,49,2
2025-12-09 13:00:00,17.6,11.8,69,0,,240,11,25.9,1020.8,51,3
2025-12-09 14:00:00,17,11.9,72,0,,210,15,29.6,1020,54,2
2025-12-09 15:00:00,17,11.9,72,0,,220,22,31.5,1019,52,2
2025-12-09 16:00:00,16,12,77,0,,200,17,29.6,1019,47,2
2025-12-09 17:00:00,15,12,82,0,,220,17,27.8,1019,28,2
2025-12-09 18:00:00,14,12,88,0,,230,13,25.9,1020,14,2
2025-12-09 19:00:00,12.8,11.4,91,0,,250,13,25.9,1020.1,0,2
2025-12-09 20:00:00,13,12.1,94,0,,260,9,24.1,1020,0,2
