,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,flight_Aircraft,Gate
82,20/11/2025 14-38-34,Ryanair,FR2098,Bologna (BLQ),17:15,Programado,189.0,Boeing 737-800,U
83,20/11/2025 14-38-34,easyJet Europe,EC7173,Berlin (BER),17:25,Programado,156.0,Airbus A319,R
84,20/11/2025 14-38-34,BUZZ,RR8394,Budapest (BUD),17:30,Programado,189.0,Boeing 737-800,U
85,20/11/2025 14-38-34,Volotea,V72327,Strasbourg (SXB),17:30,Programado,180.0,Airbus A320,S
86,20/11/2025 14-38-34,Transavia,HV5136,Amsterdam (AMS),17:45,Programado,189.0,Boeing 737-800,U
87,20/11/2025 14-38-34,BUZZ,RR6300,Sofia (SOF),17:45,Programado,189.0,Boeing 737-800,U
88,20/11/2025 14-38-34,Ryanair,FR5718,Bratislava (BTS),18:00,Programado,189.0,Boeing 737-800,U
89,20/11/2025 14-38-34,Ryanair,FR6341,Rome (FCO),18:00,Programado,189.0,Boeing 737-800,R
90,20/11/2025 14-38-34,easyJet Europe,EC7139,Rennes/Saint-Jacques (RNS),18:15,Programado,,,R
91,20/11/2025 14-38-34,Ryanair,FR3078,Lisbon (LIS),18:30,Programado,189.0,Boeing 737-800,S
92,20/11/2025 14-38-34,Ryanair,FR6394,Dublin (DUB),18:30,Programado,197.0,Boeing 737 MAX 8,W
93,20/11/2025 14-38-34,easyJet Europe,EC7103,"Basel, Switzerland/Mulhouse (BSL)",18:40,Programado,156.0,Airbus A319,R
94,20/11/2025 14-38-34,Ryanair,FR3800,Birmingham (BHX),18:45,Programado,189.0,Boeing 737-800,Y
95,20/11/2025 14-38-34,Wizz Air Malta,W43180,Bucharest (OTP),18:45,Programado,230.0,Airbus A321,U
96,20/11/2025 14-38-34,Wizz Air,W61176,Katowice (KTW),18:55,Programado,180.0,Airbus A320,U
97,20/11/2025 14-38-34,BUZZ,RR3193,Riga (RIX),19:05,Programado,189.0,Boeing 737-800,R
98,20/11/2025 14-38-34,easyJet Europe,EC7155,Milan (MXP),19:15,Programado,156.0,Airbus A319,R
99,20/11/2025 14-38-34,Ryanair,FR1342,Palma de Mallorca (PMI),19:25,Programado,189.0,Boeing 737-800,U
100,20/11/2025 14-38-34,Ryanair,FR8217,London (STN),19:25,Programado,189.0,Boeing 737-800,W
101,20/11/2025 14-38-34,Eurowings,EW9443,Dusseldorf (DUS),19:35,Programado,180.0,Airbus A320,S
102,20/11/2025 14-38-34,Wizz Air,W64406,Sofia (SOF),19:35,Programado,239.0,Airbus A321neo,U
103,20/11/2025 14-38-34,Air Arabia Maroc,3O378,Tanger (TNG),19:40,Programado,180.0,Airbus A320,W
104,20/11/2025 14-38-34,Eurowings,EW2521,Stuttgart (STR),19:40,Programado,180.0,Airbus A320,S
105,20/11/2025 14-38-34,Wizz Air,W61478,Warsaw (WAW),19:40,Programado,239.0,Airbus A321neo,S
106,20/11/2025 14-38-34,Ryanair,FR8598,Reggio Calabria (REG),19:45,Programado,189.0,Boeing 737-800,S
107,20/11/2025 14-38-34,Easyjet,U28058,London (LGW),19:45,Programado,156.0,Airbus A319,M
108,20/11/2025 14-38-34,Ryanair,FR8631,Tanger (TNG),19:55,Programado,189.0,Boeing 737-800,W
109,20/11/2025 14-38-34,Volotea,V72167,Lille/Lesquin (LIL),19:55,Programado,180.0,Airbus A320,R
110,20/11/2025 14-38-34,Transavia,HV6788,Eindhoven (EIN),20:00,Programado,189.0,Boeing 737-800,U
111,20/11/2025 14-38-34,easyJet Europe,EC1956,Milan (LIN),20:15,Programado,180.0,Airbus A320,R
112,20/11/2025 14-38-34,Air Arabia Maroc,3O376,Al Aaroui (NDR),20:25,Programado,180.0,Airbus A320,Y
113,20/11/2025 14-38-34,Ryanair,FR3143,Milan (BGY),20:25,Programado,189.0,Boeing 737-800,U
114,20/11/2025 14-38-34,Transavia,HV6064,Rotterdam (RTM),20:30,Programado,189.0,Boeing 737-800,U
115,20/11/2025 14-38-34,Ryanair,FR4587,Porto (OPO),20:45,Programado,189.0,Boeing 737-800,S
116,20/11/2025 14-38-34,Wizz Air,W62378,Budapest (BUD),20:45,Programado,239.0,Airbus A321neo,U
117,20/11/2025 14-38-34,Transavia,TO4759,Paris (ORY),20:50,Programado,186.0,Airbus A320neo,U
118,20/11/2025 14-38-34,Easyjet,U22324,London (LTN),20:55,Programado,186.0,Airbus A320neo,M
119,20/11/2025 14-38-34,Wizz Air,W64738,Skopje (SKP),20:55,Programado,239.0,Airbus A321neo,W
