,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time,festivo,Visper_fest
46,2025-11-17,Grupo Ryanair,FR2239,marrakech,10:45:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Mañana,0,0
47,2025-11-17,Grupo Ryanair,FR3121,paris,10:45:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0
48,2025-11-17,Grupo Ryanair,FR3976,dublin,10:45:00,En hora,189,Boeing 737-800,W,INT,Lunes,Mañana,0,0
49,2025-11-17,Grupo Ryanair,FR3039,prague,10:55:00,Retrasado,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0
50,2025-11-17,Grupo Ryanair,FR9045,london,11:00:00,En hora,189,Boeing 737-800,W,INT,Lunes,Mañana,0,0
51,2025-11-17,Grupo easy,U22002,manchester,11:20:00,Retrasado,180,Airbus A320,M,INT,Lunes,Mañana,0,0
52,2025-11-17,FLYONE Armenia,3F232,yerevan,11:30:00,En hora,180,Airbus A320,Y,INT,Lunes,Mañana,0,0
53,2025-11-17,Aer Lingus,EI563,dublin,11:30:00,En hora,174,Airbus A320,Y,INT,Lunes,Mañana,0,0
54,2025-11-17,Grupo Ryanair,FR7539,milan,11:30:00,En hora,189,Boeing 737-800,R,EU,Lunes,Mañana,0,0
55,2025-11-17,Transavia,TO4755,paris,11:30:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0
56,2025-11-17,Grupo Ryanair,FR1279,copenhagen,11:35:00,En hora,189,Boeing 737-800,S,EU,Lunes,Mañana,0,0
57,2025-11-17,Grupo easy,EC7197,birmingham,11:40:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0
58,2025-11-17,Grupo Ryanair,FR777,venice,11:55:00,En hora,197,Boeing 737 MAX 8,S,EU,Lunes,Mañana,0,0
59,2025-11-17,Grupo Ryanair,FR8217,london,12:00:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde,0,0
60,2025-11-17,Jet2,LS232,leeds bradford,12:00:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde,0,0
61,2025-11-17,Grupo Ryanair,FR3129,ibiza,12:35:00,Retrasado,189,Boeing 737-800,R,NAC,Lunes,Tarde,0,0
62,2025-11-17,Grupo Ryanair,FR6973,rome,12:35:00,Retrasado,197,Boeing 737 MAX 8,S,EU,Lunes,Tarde,0,0
63,2025-11-17,Grupo Ryanair,FR774,torino,12:40:00,En hora,189,Boeing 737-800,S,EU,Lunes,Tarde,0,0
64,2025-11-17,Pegasus Airlines,PC1092,istanbul,12:45:00,En hora,180,Airbus A320,W,INT,Lunes,Tarde,0,0
65,2025-11-17,Norwegian Air Sweden AOC,D83657,copenhagen,12:50:00,En hora,189,Boeing 737 MAX 8,S,EU,Lunes,Tarde,0,0
66,2025-11-17,Grupo easy,EC7137,lyon,12:55:00,En hora,156,Airbus A319,R,EU,Lunes,Tarde,0,0
67,2025-11-17,Grupo wizz,W67022,bratislava,12:55:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Tarde,0,0
68,2025-11-17,Grupo Ryanair,FR3108,luxembourg,13:00:00,Retrasado,197,Boeing 737 MAX 8,U,EU,Lunes,Tarde,0,0
69,2025-11-17,Grupo wizz,W46330,milan,13:10:00,En hora,239,Airbus A321neo,U,EU,Lunes,Tarde,0,0
70,2025-11-17,Grupo Ryanair,FR8631,tanger,13:20:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Tarde,0,0
71,2025-11-17,HiSky,H4264,bucharest,13:20:00,En hora,186,Airbus A320,S,EU,Lunes,Tarde,0,0
72,2025-11-17,Norwegian Air Sweden AOC,D81741,oslo,13:25:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde,0,0
73,2025-11-17,Eurowings,EW521,cologne-bonn,13:25:00,En hora,180,Airbus A320,U,EU,Lunes,Tarde,0,0
